text,y
이거 아직도 하네?,0
저걸 보고 사과를 떠올린다면 뇌 어딘가에 인식장애가 있는거 아닐까?,0
진짜 이렇게 애가지고도 축복못받기도 힘들듯..,0
터미널에서 옆에 버스 후진 넣고 출발하는데... 내가 탄버스 앞으로 가는 줄 ...,0
이쯤되면 3년이나 버틴 안재현이 대단하단 생각이 든다,0
앞머리 있으니 예쁘잖아..,0
진영아 원더걸스 재결합 가자,0
우리찜니 넘조아,0
처음엔 신동욱 욕햇는데 생각해보니까 주변에 할아버지같은분 계셨음 ㅜㅠ 무섭다,0
둘이 사겨요?,0
아무리 이찬원 1등이라고 난리쳐도 안되는거야! 왜? 대한민국 에 찬원이 처럼 부르는 가수는 많으니까^^ 하지만 임영웅이나 안성훈 처럼 부르는 가수는 없으니까 그게 팩트니까 !!,0
대단하네요. 일억오천 헉~~김호중씨 좋겠어요. 저런 팬들 있어서~수해 입으신 분들 빨리 복구 해야 할텐대 이런 분들이 있어서 다행이네요.,0
전라남도 화순,0
신천지 인가보네 ㅉㅉ,0
어려워요 진짜 어려워요,0
여자 얼굴이 궁금햄,0
애둘이 다둥맘인가요. 제가 지금 다섯째 임신중인데요 둘을 다둥맘이라하니ㅋㅋ걍 웃음이ㅋㅋ,0
와 개이쁨 ㅌ,0
재밌다!!!! ㅜㅜ,0
큐브가 그렇게 사내연애 많이한다며?,0
연기도 생각도 자꾸 죵답이네,0
사람들 그렇게 오지랖을 떨더니 잘살고있나보네,0
진짜 분위기이쁘다 얼굴도이쁘고,0
차두리라고 하면 되지.. 세찌는 머야...,0
축하드려요~~~^^행복하게 사시고 대장암두 얼른 완치하세요!!!,0
탄핵을 위한 촛불을 듭시다,0
와씨 탐난다,0
잘했다 이쁘다,0
박나래 유재석 강호동과 3대 엠씨에 연예대상 성훈하고 썸 밥블레스유 메인 꿰차고 완전 올해 대박이네요,0
나무주방 나중에 곰팡이 어쩔.,0
와 진짜 하메스는 경기 지배하는게 지리더라 롱패스 하나하나가 다 쭉쭉 나감 이번 에버튼 볼만하다,0
드디어 오피셜 ㅊㅊ 근데 이미지가 왜 생강형 느낌이 나지?,0
홍진영 귀에서 뭐 이어폰 같은거 빼던데 제작진이 뒤에서 조종하고있는거 아님?? 짜고 치는 고스돕 ..,0
ㅈㄴ 작위적인느낌,0
도득놈들...부동산..중계업자들...,0
강동주도 나와야 하는거 아님?,0
둘이 사귀는구나 ㅠㅠ 잘어울리는데 너무부럽다,0
전생에 나라를... 부러우면 지는건데! 쳇~,0
원작이 워낙 기괴해서 그런지 원작을 이기고 비빌만큼은 아니고 더빙도 많이 과장된 톤으로 어색한 느낌이었다. 그냥 적당적당하게 괜찮았다,0
여러분 현재 한국이 적화통일 당하기 일촉즉발입니다 이것은 하나님을 잊은 한국에 임하는 하나님의 벌입니다 이제 모두 깨어나 회개하고 예수님믿으셔서 웃으며 예수님 만납시다! 천국에서 만나요!,0
에스더 정말 마음이 따듯하고 큰 사람같네요,0
기사를 봐도 뭔소리인지 모르겠네. 게다가 저당시 세균전이라니...판타지라도 이건... 농담이지?,0
명예훼손으로 고소하면 답나온다,0
방금 유동근 아재 회장여자 한테 엄포 놓을때 포스 ㅎㄷㄷ간만에 정도전때 포스 나오더만 진작 이렇게 만들지 이상하게 캐릭터를 만들어 놓아서.,0
이건우 저 저 아직도 때리고 있네 다음 주 까지 때릴 기세여;;,0
왜 여자만 항상 독박육아를 해야하는지 모르겠다,0
뿌염도 컨셉이것져 거슬리던데 암튼 연기잘해용공효진씨와도베프맴버로알고있는데 촬영장분위기좋겠어여,0
휴가 미복귀 연장은 아빠말고 꼭 엄마가 전화걸도록 해요 치과 정신과 다 됩니다,0
점점 이뻐지네ㄷㄷ와우,0
갈수록 호감ㅋ,0
이곳이 전설의 시작이고 이근의 인기원인지점,0
사실 황제원이 주인공임,0
최진혁 연기보소 ㄷㄷ,0
이런일이 네이버 1등 할것까지 있나? ㅜㅜ,0
온니유라고 하고 다른사람과... 행복하게 잘 사세요...,0
절대 아무것도 사주지 말자.,0
에휴..결국 손주도 못보고 가시는구나..명복을 빕니다,0
아니 얼굴 하얗게 화장 하고 점 찍고 마른인 먼노 코스프레 하면 인종 차별이야??아니 그 장의사 본인도 다른 인종들이 코스프레 하는거 추천 하는 마당에 왜 제3자가 난리야.???,0
얘는 건성으로 사과하고 방송~항상 이런식 ㅋㅋ진심이라곤 눈꼽만치도 안보이고..,0
다솜도 인기가 많군 또 질투글이 배댓인거보니.. 도대체 어디가 설정같다는거냐? 나는 다른연예인들보다 더 꾸밈없이 혼자라이프 보여주는것같아서 보기 좋더만,0
박한별 수고 했어요 책임감있게...잔잔한 슬픔 표현도 잘했는데 연기력이 어쩌고..,0
김주혁님 죽은지 얼마나 됬다고... 이건쫌 아닌것 같네요..,0
디마리아는 메시아가 아닌 그냥 디마리아 라고불러라,0
아니길 바랬는데. 그런식으로 친하지 않길 바랬는데... 둘 다 어렸을 때 가수가 되기 위해 열심히 했던 사람들인데 왜 지금은 이렇게 된 거야...,0
힘내세요~ 응원합니다!!,0
ㅋㅋㅋ 난 그냥 벤츠 탈런다 돈있음 뭐하러 현대타냐 걍 다 하는 소리야 요즘 사설 AS도 많아서 수리비도 별로 안비싸 고장도 적고,0
대마는 절대로 하지말자,0
ㅇㄴㅇ 맴버중 한명은 친할법한데 ..ㅇㅅㅇ 라던지... 무슨일이 있었던거냐,0
너무 잘생겼오 진짜루😢😢💕김인딕이 체고양❗,0
갓지민! 나의 최애 여배우 입니다. 꼭 나와주시길,0
어떤기사에는 설현닮았다고 ㅋㅋㅋ,0
쵸비어머님도 롤하시나봐,0
부동산 하락을 조장하는 유투버들은 그냥 놔두나형평성 문제다,0
그래도 이번에 동생 많이 차분해졌던데. 저번처럼 그러진 않더라 머리는 깔끔하게 묶는게 위생상 좋긴합니다 ㅎㅎ,0
현아 진짜 보기싫다,0
뭐 웬디가 다쳤다고? 이런 또 내가 병문안을 가야겠군,0
몰르면그럴수도있지 겁나예민ㅡㅡ,0
복지사회에 앞서 자본주의 시스템내 도덕성 강화가 우선이란 생각이 드는데 저만 그런가요?,0
구장을 잡아도 어째 맨날 바람 겁나게 부는대를 잡았냐,0
이엘리야 착한역해줘요ㅠㅠ겁나이쁜디ㅠㅠ참좋은시절?때 팬이였다구요ㅠㅠㅠ,0
진짜 부족한게 뭔지. 볼때마다 감탄해요. 나의 롤모델 안현모씨.,0
일단 정소영부터 누군지 모르겠음,0
참고로 강호동이 이만기 그때 딱 한번 이기고 그 뒤로 다 졌다더라 ㅋㅋ 1박2일때도 그렇고 다음주 2부에 또 붙음 초기대!!!,0
연희 좋아 감바때,0
나도 여자지만 난 너무 저러는거 아니라고 본다...왜저러는거야??? 진짜???? 사람 왜 또 몰아세워??? 죽을 죄를 진거 아닌데??? 어지간하네...ㅡㅡ보지마!!! 안보면 되잖아!! 맞는말이네!! 너희가 더 같은 여자로써 불편해!!!,0
그냥 둘은 서로좋아하고 사랑한거뿐인데 왜 남의 연애에 간섭하는거야 진짜 불쌍하다,0
짐 없이 1인 생활하는 남자분께 적당합니다.,0
이병헌 조승우하면 2000년대 부터 젊은배우들중 연기력으론투탑이라 생각했는데 올해로 이병헌은 벌써 51살ㅋㅋ 근데 전혀 그렇게 안느껴져 신기해,0
뽑힌 애들도 안됐다..주작논란에 탈락 연생들이 더 인기있고.. 앞으로 우째됄지,0
얼굴도 완전 미인인데다ㅠㅠ 똑똑하기까지 정말 부럽습니다,0
자발적 무자녀부부 좋을까?나이들어갈수록 아이가 행복 이던데,0
더 자숙하세요. 음주운전은 살인미수!,0
별 시덥지않은 악플들은 모냐,0
많이 무섭진않은데 약간 징그러운거 싫어하시는분들은 조금 참고해주세요 ㅎㅎ 너무 잼있었어요!! 강추추추춫추추,0
ㅋㅋㅋ 이젠 하다하다 신문도 코미디하네ㅋㅋㅋ,0
김유석은 아버지가 아니라 형님 같고 장미희는 꽃같이 곱게 설정해 놓곤 왠 치매?,0
그냥 노래만 해줘요 ㅠㅠ,0
핵이쁨... 이전에 황정음이랑 나왔을때 찹쌀떡이었는데 배역이랑... 다시 그런 배역 맡았으면 .,0
저거 다 이케아제 싸구려 아니니? ㅋㅋ 먼 요양병원 의자 몇개가져다놓고 핀란드래 푸핫 ㅋㅋ,0
모든수수료 100만원 이하로 하고개인 거래 서류 등을 동사무소 에서 할수 있도록 해야 한다,0
생각보다 너무 재밌었네용ㅎ,0
김희철 * 민경훈 (아는 형님) = 워터스포츠웨어브랜드 미 스 트 랄,0
왜 슬프게 간 설리를 또 꺼내서 또 화두에 오르게 하나. 이슈로 화두가 되어 돈된다면 부모고 타인이고 저렇게 가만히 두질않으니.. 설리가 너무 안쓰럽고 슬프네요. 진짜 아낀다면 조용히 미안한 마음 담고 사셨어야지,0
지디 얼굴이 변했네요 부어도보이고...,0
박민영은 ... 드라마 찍을때마다 스캔들 나,0
현빈 눈빛너무 안좋네...,0
반고정 가즈아 나래 사장님 집밥 에피 나왔음 해요ㅜㅜ 기석이 힘내랏,0
차라리 그 돈으로 쌀이나 한포대씩 줘요,0
예전이나 외모가 똑같네. . .,0
차판다고 하지 아노았나..,0
앗 페트리 결혼 했었나요?ㅎㅎ 축하드려요^^,0
어떻게 하면 저렇게 잘생길 수가 있지?,0
이미 멋있는데. 아빠되니 또 한단계 업그레이드 되겠네요. 넘 축하드리고. 기대됩니다. 제이왑피 쥬니어,0
화나고 짜증날일이지 마음의 상처로.. 뒤끝 길구나.. 뭐 얼마나 큰 피해를 봤길래,0
김종민 도입부 오지네.. 너무 잘부르고 어울림,0
상호행님... 설마 이싸움때문에 인력사무소에서일하는건가,0
현상만 보지말고 의도를 파악해야지....당신이 티비 나와서 저질 농담해도 나쁜 의도가 없다는 것을 알기에 굳이 문제삼지 않는것처럼...,0
이걸 6회나 봐야한다니.......,0
잉 잠이 안와ㅜㅜ 낼 출근 망했다,0
역시 조보아~~!!역시 마인드하나는 최고야!!,0
이정도면 드라마가 아니라 블럭 버스터급영화~~ 왠쥐 베본2가 나올지도.,0
얼음물 맞고 기부들도 하는지 모르겠네요. 건물지을 기부금을 모으기위해하는건데 그냥 물만 맞고 말면 도대체 돈은 누가 내는지...,0
소진이 왜 여기있어...?,0
일반국민들은 의료정책이 뭐가 잘못된 것인지 정확히 모릅니다. 당장 현재의 문제만이 아니라 10년 20년 후에 어떻게 될 것인가도. 생각해야 합니다. 내년에 당장 의사가 배출 안 돼면 공중보건의 군의관 전공의들이 부족하여 정부와 병원이 어려움을 겪게 됩니다. 정부도 여론때문에 어렵다는 얘기는 말이 안됩니다. 정말 나라의 안전을 위한다면 어떻게 해야 옳은 것인지 판단해서 시행해야 합니다. 정책을 여론몰이로 해서는 않됩니다.,0
댓들마다 아직도 일진설 믿고 있는 사람들 넘 많네 ㅋㅋㅋ 지금이 2010년도도 아니고. 언제까지 그 시대에 매달리며 살래??,0
멤버 한명한명 극한의 컨셉충들ㅋㅋ 정형돈 살균제뿌리는거진짴ㅋㅋㅋ,0
정말 유익한 다큐였어요 제작하신분들께 감사합니다.,0
내용이야 웹툰으로 증명이 됐지만 캐릭터 움직임이 뚝뚝 끊겨서 몰입방해 애니화는 실패,0
친구들이 가짜사나이 학교에서 이야기하는데 아무것도 모르겠어서 보러왔습니다,0
....한국적인 미인의 대표적인 분...너무나 곱고아름다운모습...그모습뒤의 슬픔을 미처 알지못했네요ㅠ,0
전기세를 감면해달라고~ 여름에 주구장창 집에있으면서 돌린 에어컨비... 좀 깎아주셈. 전기세 할인해줘봐라. 말안해도 알아서들 집에있지...,0
네 다음 시청률꼴쮜~!,0
느낌상 변소장같음 반전으로갈라면,0
승리 1승.. 승리는 최소한 약은 안했따,0
잘 생긴건가?그냥 호감형이지...몸매도 좋은,0
베컴은 저런딸 낳아준 빅토리아베컴이랑 사이더 좋아졌을듯 상상이 안갈듯 막내딸 없는세상이ㅡ 너무귀엽다..,0
붐이ㅜ왜ㅜ욕먹는지모르겟어. 범법자도 아니고 열심열심히 사는거같아 멋진디,0
박하선씨 얼굴도 보이는 듯해요 귀엽고 노래도 잘하고 화이팅~,0
힘내세요.저두 이틀전 사촌오빠를 보내고 왔는데 맘이 추스려지지 않내요,0
뭔가 손발안맞는 용병들 모아놓고 경기에 적응못하고 있는 느낌 트레이드를 많이해서 그런가,0
대한민국은 신기한 민족이다.노래 잘하는 사람이 인구 5천만에 5천만 되는 것 같다ㅋ자존심만 강해서 남들과 타협도 못 하는 성질의 민족성.역시 개개인은 뛰어나구나ㅎ,0
거 예비며느리가 빚 청산해주구 시부모한테 이쁨좀 받자 ㅋ,0
눈빛이 소름돋는다는거.. 나만 못느끼나.... 당연히 사람이 말하면 쳐다볼수있는거 아닌가.. ?,0
안하는게 정답이다 괜히 사진올리고 악플달리고 머리아프,0
어째 정용화보다 팬이 적은거 같다? 하긴 빅뱅감투 내려놓고 솔로앨범 내니깐 개망했었지....역시 지디와 아이들이였음...,0
웹툰보다 기괴하고 재밌어용,0
기안 하차하면 진짜 얼마 안가서 나혼산 폐지 수순 간다 ㅋㅋㅋ 지금 거의 유일하기 웃기는 출연자 아닌가,0
게리가 두명이네??,0
이건 혈액암이기때문에 맞는 항암제를 찾아도 재발률이 높고 악성이라 생존률이 희박함,0
화장지웠구만뭘 원래순한인상인데 눈화장때문에 쎄보인것 순둥한얼굴임,0
킬링타임용ㅎㅎ 원작 안보고 보는게 더 나을듯 합니다 저는 원작을 보고 봐서 그런지 스토리가 크게 감흥 있진 않았어요,0
한편의 영화를 보는듯한 느낌을 주었습니다. 앞으로 이러한 다큐 많이 찍어주시면 감사하겠습니다. 정말 감명깊었습니다 감사합니다.,0
이윤성 하고 윤소이 섞어놓은듯이뻐요이쁜사랑하세요,0
지들도 비틀즈한테 회사 이름이랑 사과 로고로 상표권 침해 소송당해놓고서 이제는 역으로 중소기업들 쥐잡듯이 잡고 있네,0
오진영 인턴기자님께서 잘못하셨네요,0
얘네 언제 망하는거야? 이제 눈 좀 그만 버리고 싶다.,0
예뻐요~ 울집도 저렇게 꾸미고 싶당,0
구땨 그시절은 원피스가 아니라 그냥 투니버스 그자체였어.. 그 세대라면 투니버스가 책임졌던 세대야.. 반박불가,0
설현이 떨고 있다... 아니겠지 아닐거야 그것만은 안돼,0
그냥 하면된다 무슨 발표고,0
애들아 배불렀단다 시청률 0점대 가즈아,0
와~~거의 영화네여~~정신적 육체적으로 거의 철인이십니다존경!!,0
살이 너무 쪘다,0
코로나보다 더 지독한 이번 정권의 온갖 만행과 불법행태로 전국민은 홧병에 죽을지경. . .,0
이혜성이 훨씬 아까움 엄청 어려보이는데,0
누명 아니고 강기사 아저씨 다예 아빠 칼로 찔러 죽임 무슨 누명이야 다예가 강기사 아저씨칼로 찔러 죽일듯,0
테이프로 봄여름가을겨울을 듣고 또 들었던 사람입니다아픔없는곳에서 편히 쉬세요,0
소확행을 택한 현명함을 응원합니다~,0
어떻게 저리고급지냐.얼굴이,0
아고 잘생겼네~동생은오데있떠 ~아빠한테 슈ㆍ돌나가자고떼써~ㅎ,0
음식물 들고 가지마세요 들고 가서 먹는순간 내용을 이해할 수 없습니다.,0
실제로 보면 이쁘겠지???,0
몸조심히 잘다녀와 기다릴께,0
별그대의 신성록이 너무 타격이 커서 나긋한 목소리가 어색해..,0
대표님 시중 토마토 파스타소스 먹으면 항상 시큼하고 맛있지 않더라구요ㅠㅠ레벨업 할 수 있는 팁 궁금해요!!!,0
나는쌈디가 더재밌던데,0
임신해도 이쁘네요,0
육중완도 끝낫네ㅋ,0
이 영화 언플이 왜이렇게 많은것같지 개봉은햇나,0
무기만 명품이라 수출하면 뭐하나?? 정작 사용하는 수뇌부가 명품이 아닌데~,0
함소원 언니 너무 이쁘다~~ 이제 곧 이쁜 아가 만나네요! 순산하세요~,0
재밌긴 한데 내용전개가 좀... 그래도 김지원 진짜 세젤예임.....,0
딱 이번주 주말에 할일이 있었는데 참고해서 만들어야겠어요ㅋㅋㅋ,0
하나만 말하면 이미 마음의편지로 선임이 후임눈치보는 군대가 이미 되었습니다....,0
진짜로..올해의 영화는 바로 이 작품이다! 결말까지 다 보고나니 진짜 놀란이 왜 천재 소릴 듣는지 이제야 알겠다!,0
중간에 졸았네요..,0
탑이랑 걸렸을 때 연습생이라고 보도 나왔는데 그때 왜 바로잡지 않고?,0
기분좋다~ 기분 딱좋다~,0
현기만 타봤으면 독일차 왜 좋은지 모름. 네이버에서 수입차 까는사람 대부분 베뉴가 드림카일듯,0
엥 누군지모르는데.. 남자라서 이렇게 관심받나 ㅋㅋ,0
난 여잔데 모유비누반대함. 무엇보다 여성의 젖을 상품화한다는게 싫음. 여성의 신체는 왜 항상 상품화되어야하죠? 이시영언니도 반성했으면하네요.,0
유투브 보기 좋을거 같은데~ 맨날 세로 보기 시작해서 가로 보기모드ㅋㅋ 보면서 바로바로 댓글 가능,0
오늘 왜이리 쓸데 없는 내용이 많아?,0
남녀가 사귀다가헤어지고하는게 인생사인데참답답하네요옛남친이 과연비난대상이되는지요묻고싶습니다,0
아휴!!! 최수종 씨 어색한연기며 한심하다 작가양반 저질 퀄리티 드라마 실망,0
피해자분들은 지금 얼마나 힘들가.,0
언니 이뻐요~~^^,0
이렇게 재미있을줄이야.. 정작 매주 볼때는 아무 생각없이 습관처럼 본 것 같은데 다시보니까 진짜 대단한 프로였네,0
인셉션 인터스텔라에 이은 대작,0
통신비보다는 전국민 독감예방접종을 해 주세요~,0
돌았나~?? 이경아...ㅜㅜ,0
우리나라 의학기술의 발달은 실로 놀랍다,0
원수연 작가님 말씀이 맞습니다. 개인적인 감정으로 창작의 자유를 억압하려함은 응당 잘못된것이라 봅니다. 개인적으로 그 작가가 싫으면 그냥 안보시길 권유드립니다.,0
볼만했습니당슬펗어요,0
경향이 이젠 광고신문 되었구나. 귀족노조 꼴보기 싫어서 국산차 안 산다는 사람들 어케 생각하냐.,0
넘 예뻐요. 정미애님.,0
내 폰에 여자연예인 사진이 참 많지만 설리 사진이 가장 많았다. 항상 내 마음속 미모 1위 ....특히 웃는 얼굴 보면 항상 행복했고 세상 공주같았는데 말야.그래서 최자가 더 밉다,0
초등학생 머리에서 나온 스토리에 2시긴 날렸네,0
느무 재미 없다.,0
독과점의 결과,0
할 너무뺐는데?다른걸한건가? 살짝 다른것같기도ㅋㅋ,0
광고를 확실하게 하시네요,0
남송 참지말자,0
주작의 냄새가 한가득~~~,0
강다니엘군 응원합닏♥️,0
내가 보기에 얘는 아주 오래 갈 연예인이라고 본다.,0
수많은 정상적인 여자들은 기안을 응원합니다,0
아육대 풋살 씹어드시던 분인데 이젠 아육대 풋살종목도 없어져서 노지훈씨를 못보네...ㅠㅠ,0
이시국에 뭔 뜬금없는 광고냐?,0
괸찬아! 갑상선암은 조기치료하면 큰걱정안해도 된다 !! 빨리 완쾌해서 다시 무대서기를 화이팅 !!!!,0
천사 이호석 가수 이호석 잘 생겼다 이호석 미소 이호석 귀엽다 이호석 몬 베베 이호석 예쁘다 이호석 사랑해 이호석 몬스타 엑스,0
깜짝 놀랬다..,0
이채연 진짜 의심된다 집도 잘살고...,0
어이 없는 드라마. 시청자 농낙 하는구나.,0
섹스를 포르노로 배우면 왜 안됨?,0
둘이 사귀면 될듯ㅎㅎ 잘어울림,0
카이가 도대체 몇명이냐~이름좀 바꿔라,0
남주가 하필 쟤냐..똑같은 목소리에 똑같은 연기밖에 못하는데....,0
황제 제발 왕식이좀 쳐내자!,0
한수민씨 예뻐요,0
연기 예전보단 늘긴 한것 같은데 아직도 개 어색함;; 그리고 드라마가 여기저기 다른 작품들 섞어 놓은것 같아 ㅋㅋㅋ레알 걍 지금 만나러 갑니다 잖아ㅋㅋㅋ,0
이종석이 더 예쁘네... 왜 이렇게 이모조카같은 배우들로 로맨스를 찍는지,0
깨끗하게 마무리해라..더티하게 뭐하는짓이야~애들이 커서 이내용을 알면 참 잘했어요 하겠다~~,0
10년뒤 윤서인은 분명히 재평가될것임. 말하나하나가 틀린게없음,0
축하는 하는데..제발 태아사진은 올리지마시오!둘만 보면되지!꼭..좋아보이지않아요,0
이상봉 아니죠 홍섭천 아니죠 사랑이 다른 사랑으로 잊혀지네,0
로코 대사를 잘 못 살려 연기가 재미가 없음ㅜㅜ,0
더 멋지긴한데 통통할때의 신동이 좋다 건강생각하며 뺀건 잘한거같네요 통통이 신동도 그립지만 지금은 정말 꽃미남이네요 최고의 성형은 다이어트 탄수화물줄입시다 모두 건강행쇼,0
기사거리 오지게 없나벼 지겨워 별것도 아닌데,0
김희선 연기 계속햇음함,0
이 분 왠지 진국이실 듯~!,0
15세치고 많이 자극적입니다. 무섭고 재밌었어요!! 이ㅣ,0
늬들도 디즈니한테 저작권료 내라. 백설공주 꺼잖아. 베어문 사과~!!!,0
예원아 반가웠다. 마음이 더 성숙한 모습으로예전처럼 왕성한 활동 보여주렴. 화이팅!!,0
성매매는 합법화 해야한다,0
손담비 나혼에 고정으로 가자~~매력 넘침~,0
악플에 대한 처벌이 강화되어서 이러한 비극적인 일이 또다시 일어나지 않았으면 좋겠습니다. 조금 더 좋은 사회가 되길 바랍니다.,0
로이킴을위해서라도 정준영 로이킴 먼지가되어 영상도 삭제해야함 흑역사임 ㅠㅠ,0
전체적인 정황도 모르면서 cctv에 나온 하나의 단면만 가지고 비난하는 건 옳지 않다. 조사 결과 나온 다음에 비난해도 늦지 않는다!!! 기다려봐라!!,0
시즌3은 잘 모르는 가수들만 나오네.,0
송이? 씬가여?ㅎㅎ너무축하드려요,0
김신영은 진짜 최고 개그맨임ㅋㅋㅋ,0
JYP에서 연습생 한 3년은 해라,0
명품배우가 이렇게 사라지는구나......ㅠㅠ,0
근데 나한테 공짜로 준다고 해도 다른 사람에게 양보할듯,0
건강하게 다이어트하셔서 더보기좋은듯합니당ㅋ넘이쁘심!! 복면가왕한번더출연하세요~~아무도못맞출듯ㅎ,0
왜이리 잘생겼어,0
소름;;짧은예고를 글로 보고 다음 회 다본듯 얼른다음주 ㅎ,0
진짜 tmi다..,0
안재현도 잘한거없자나 정준영친구인건 사실아닌가 지가 정준영보다 나은것도 없자나,0
애플 심보가 못됐네 과일모양 로고는 다 니거냐,0
조민아씨 건강 꼭 회복하셨음 좋겠어요. 아파서 살빠졌다니까 나랑 아무 상관없는 사람인데도 너무 걱정이 되네,0
맞습니다. 자숙하시고 달라지 모습으로 나오시길 바랍니다.,0
이번에 풀었다가 늘어나면 추석은 건너뛰고 개천절을 기점으로 늘었다고 할것인지?,0
가만히보면 저 5명 이름 존나 잘지음. 흔한이름도 아니고 존나 생김새랑 성격이랑 잘맞음,0
저런거 운영하는 사람이나 동조하는 사람이나 수준 떨어지는 사람들 너무 많다. 무고한 2명이 삶을 난도질당했는데 사과 한번으로 끝? 지들이 무슨 자격으로 남을 단죄하나,0
멋있는 여자라는 사람은 바로 김남주 배우님 같은 사람이구나하고 느꼈어요ㅠㅠ 앞으로 더 공정하고 투명한 연기로 또 팬들 앞에 나타나 주세요!!,0
이름을 장난치는건 좀,0
러시아 기술력이면 충분히 하고도 남는다우주 개발 최초의 성공 수소폭탄 개발 미국에 이어 2번째 성공가가린 같은 인물이 우주 기술력을 보여준 대표적인 사례고 막강한 과학 기술력이면 충분히 제조 하고도 남지러시아가 과거 90년대 옐친같은 방향성 불분명한 그 당시 러시아를 갈아엎고 패권주의 스트롱 정치를 보여주는 푸틴에게 당연히 압도적인 지지를 하겠지,0
길어봐야 3년...,0
함부로 그런말 하는거아닌데..,0
본인이 인정 안하지 않았나요?사실이라면 비난 받아 마땅하지만요즘 이슈되었던 공인들 성추행 사건들무혐의에 맞고소간게 많아서 수사결과나오기전엔 악의적인 댓글 자제합시다.,0
난 대리만족이나 해야지,0
믿고보는 혜리♥♥♥,0
보컬만 아니면 상관없잖아..?,0
마른사람들 부럽다 만삭인데 어케 배만 나오지,0
솔직히 기안84가 더 잘생겼다. 그치만 박정민 배우가 좋다. 왜일까. 그저 자기일에 충실하고 묵묵히 뭐든지 스스로 하는 모습이 은근 매력있다.,0
하는짓 보면 초등학생들보다 못함,0
국산차도 차값이 너무 비싸졌어 고급차 큰차만 좋아하는 국민성 때문이지,0
기자: 저는 이국주가 싫어요,0
엄마는 저렇게나 이쁜데...넘 이쁘다,0
